BA,Salvador,Mercadão da Bahia,"1ª Travessa Luiz Tarquínio Pontes 223 CEP 42.702-430 - Centro, Lauro de Freitas - BA, 42702-430, Brazil"
BA,Salvador,Mercado de Santa Bárbara,"Av. José Joaquim Seabra, 283 - Pelourinho, Salvador - BA, 40026-350, Brazil"
BA,Salvador,Mercado São Cristóvão,"Av. Aliomar Baleeiro - São Cristóvão, Salvador - BA, 41500-660, Brazil"
BA,Salvador,MERCEARIA SANTA LUZIA- Periperi,"R. da Glória, 59 e - Periperi, Salvador - BA, 40725-850, Brazil"
BA,Salvador,Merceaei,"Mercado Municipal Cajazeiras - Av. Engenheiro Raymundo Carlos Nery, n°1111 - Box 09 - Cajazeiras 10, Salvador - BA, 41340-280, Brazil"
CE,Fortaleza,Mercado Central de Fortaleza,"Av. Alberto Nepomuceno, 199 - Centro, Fortaleza - CE, 60055-000, Brazil"
CE,Fortaleza,Av Abolição no Centro - Mercado Central,"Av. da Abolição - Mucuripe, Fortaleza - CE, 60165-085, Brazil"
DF,Brasília,Brasilia Coffee's Market,"Asa Sul Comércio Residencial Sul 509 BLOCO C - Asa Sul, Brasília - DF, 70360-530, Brazil"
DF,Brasília,Mercado Cultural,"SHN Q. 2 - Asa Norte, Brasilia - Federal District, 70297-400, Brazil"
DF,Brasília,Mercadão,"Brasília, Brasilia - Federal District, Brazil"
DF,Brasília,Mercado Central,"Lote 18, Riacho Fundo I, Brasília - DF, 71820-510, Brazil"
DF,Brasília,Mercado Central,"Quadra 12 Módulo 22, Setor Habitacional, SH Mte. D'armas, Brasília - DF, 73401-143, Brazil"
DF,Brasília,Mercado de Núcleo Bandeirante,"Av. Central - Núcleo Bandeirante, Brasília - DF, 71705-500, Brazil"
DF,Brasília,Mercado Brasília,"Av. Central, Lote, 595 Sub Loja 01 - Núcleo Bandeirante, Brasília - DF, 71720-350, Brazil"
ES,Vitória,Mercado Municipal da Vila Rubim,"R. Jaír Andrade, 38 - Vila Rubim, Vitória - ES, 29025-190, Brazil"
ES,Vitória,Comercial Gimar LTDA - Mercadão da Vila Rubim,"R. Orlando Rocha, 83 - Vila Rubim, Vitória - ES, 29025-055, Brazil"
ES,Vitória,Mercado Municipal de Jucutuquara,"R. Lisandro Nicoletti, 150 - Jucutuquara, Vitória - ES, 29042-150, Brazil"
ES,Vitória,Mercado Municipal,"Av. Brumado, s/s - Feirinha, Vitória da Conquista - BA, Brazil"
ES,Vitória,Mercado da Capixaba,"Av. Jerônimo Monteiro - Centro, Vitória - ES, 29010-050, Brazil"
ES,Vitória,Mercado da Praia,"Praia do Canto, Vitória - State of Espírito Santo, 29055-600, Brazil"
ES,Vitória,Mercado San Sebastian,"Cruzamento, Vitória - State of Espírito Santo, 29041-630, Brazil"
ES,Vitória,Futuro Mercado Municipal de Vitória,"R. Orlando Rocha, 68-96 - Vila Rubim, Vitória - ES, 29025-055, Brazil"
GO,Goiânia,Mercado Central de Goiânia,"R. 3, 322 - St. Central, Goiânia - GO, 74030-071, Brazil"
MA,São Luís,Central Market,"Av. Guaxenduba, 01 - Centro, São Luís - MA, 65015-560, Brazil"
MA,São Luís,Municipal Market,"Liberdade, São Luís - State of Maranhão, 65035-280, Brazil"
MA,São Luís,Bella modas,"R. Albuquerque - Cohab Anil III, São Luís - MA, 65050-050, Brazil"
MA,São Luís,Mercado Municipal Do Tirirical São Luís,"R. do Engenho - Tirirical, São Luís - MA, 65055-170, Brazil"
MA,São Luís,Mercado do São Francisco,"São Francisco, São Luís - State of Maranhão, 65076-450, Brazil"
MT,Cuiabá,Port Market,"Av. Oito de Abril - Porto, Cuiabá - MT, 78045-700, Brazil"
MT,Cuiabá,Mercado Central ME,"R. S6, Casa 6 - Nucleo Hab. Sucuri, Cuiabá - MT, 78042-212, Brazil"
MT,Cuiabá,Mercado Mais,"Travessa Martins França - Dom Aquino, Cuiabá - MT, 78015-045, Brazil"
MS,Campo Grande,Mercadão Municipal Campo Grande- MS,"R. Sete de Setembro, 65 - Centro, Campo Grande - MS, 79002-121, Brazil"
MS,Campo Grande,Mercado Central,"R. Eugênio Daneri, 305 - Nucleo Hab. Buriti, Campo Grande - MS, 79091-031, Brazil"
MG,Belo Horizonte,Mercado Central de Belo Horizonte,"Av. Augusto de Lima, 744 - Centro, Belo Horizonte - MG, 30190-922, Brazil"
PA,Belém,Francisco Bolonha Market (Meat Market),"Av. Portugal - Campina, Belém - PA, 66013-030, Brazil"
PA,Belém,Mercado Ver-o-Peso,"Blvd. Castilhos França - Campina, Belém - PA, 66013-030, Brazil"
PA,Belém,Mercado Municipal do Guamá,"2300 66065 112, Av. José Bonifácio, 2202 - Guamá, Belém - PA, 66065-112, Brazil"
PA,Belém,Municipal Market Bengui,"R. Betânia, 808-728 - Benguí, Belém - PA, 66630-140, Brazil"
